ID;date;species;simp_species;simp_confidence_index;confidence_index;success;manual_check
HB1001;20150907;Pipkuh;Pipkuh;0.9;0.812;1;Pipkuh
HB1003;20150908;Pipkuh;Pipkuh;0.9;0.812;1;Pipkuh
EB258;20151008;Pipnat;Pipnat;0.9;0.812;0;Pippip
HC504;20150925;Pipkuh;Pipkuh;0.9;0.814;1;Pipkuh
HB254;20150929;Pipkuh;Pipkuh;0.9;0.816;1;Pipkuh
HC10007;20150927;Pipkuh;Pipkuh;0.9;0.816;1;Pipkuh
HB4008;20151009;Pleaus;Plesp;0.9;0.816;1;Plesp
HB256;20151008;Pleaus;Plesp;0.9;0.816;1;Plesp
HC2009;20150928;Barbar;Barbar;0.9;0.818;1;Barbar
HC7006;20150927;Eptser;Eptser;0.9;0.818;1;Eptser
HC8004;20150924;Eptser;Eptser;0.9;0.818;1;Eptser
HB5004;20150924;Myonat;Myosp;0.9;0.818;1;Myosp
HB6005;20150923;Pipkuh;Pipkuh;0.9;0.818;1;Pipkuh
HB6003;20150913;Rhifer;Rhifer;0.9;0.818;1;Rhifer
HC8003;20150924;Barbar;Barbar;0.9;0.82;1;Barbar
EC3003;20150926;Myonat;Myosp;0.9;0.82;1;Myosp
HB505;20150924;Myonat;Myosp;0.9;0.82;1;Myosp
HC7002;20150917;Pleaus;Plesp;0.9;0.82;1;Plesp
HB6001;20150907;Pleaus;Plesp;0.9;0.82;1;Plesp
EC3003;20150927;Myonat;Myosp;0.9;0.824;1;Myosp
HC1004;20150914;Pipkuh;Pipkuh;0.9;0.824;1;Pipkuh
HB9006;20151005;Pippip;Pippip;0.9;0.824;1;Pippip
HC7002;20150917;Pleaus;Plesp;0.9;0.824;1;Plesp
HB1007;20151001;Barbar;Barbar;0.9;0.826;1;Barbar
HB505;20150923;Barbar;Barbar;0.9;0.826;1;Barbar
HC8004;20150924;Eptser;Eptser;0.9;0.826;1;Eptser
HC1004;20150914;Pipkuh;Pipkuh;0.9;0.826;1;Pipkuh
HB10001;20150918;Pleaus;Plesp;0.9;0.826;1;Plesp
HC3002;20150914;Pleaus;Plesp;0.9;0.828;1;Plesp
HB10002;20150923;Barbar;Barbar;0.9;0.83;1;Barbar
HB10002;20150924;Barbar;Barbar;0.9;0.83;1;Barbar
HB4002;20150909;Eptser;Eptser;0.9;0.83;1;Eptser
HC10002;20150925;Myonat;Myosp;0.9;0.83;1;Myosp
TEA251;20150921;Pipnat;Pipnat;0.9;0.83;1;Pipnat
HC6007;20151005;Pleaus;Plesp;0.9;0.832;1;Plesp
HB5004;20150924;Myonat;Myosp;0.9;0.834;1;Myosp
HC7002;20150917;Pleaus;Plesp;0.9;0.834;1;Plesp
TEB253;20150919;Pipkuh;Pipkuh;0.9;0.836;1;Pipkuh
HB9006;20151006;Pleaus;Plesp;0.9;0.836;1;Plesp
HC4007;20150917;Pleaus;Plesp;0.9;0.836;1;Plesp
