ID;date;distforest;disturban;distwetland;x93;y93;hedgerowlength;edgetype
EB1003;20150924;1053.500039;345.3568703;181.9903603;2.696659556;67.82525956;3882.298434;openarea
EB1004;20150929;252.7638308;318.6883147;842.9241499;2.948202992;67.94472856;2717.707491;openarea
EB1005;20151005;115.9896213;484.1049416;1765.722799;2.943871618;68.39720714;3607.400299;openarea
EB2001;20150907;1247.603215;521.7573087;173.3414675;4.049287877;66.92122585;971.4025337;openarea
EB2002;20150908;955.9108193;213.2033138;491.0794728;4.052266241;66.92979047;1597.568196;openarea
EB2003;20150918;255.2544772;412.6576509;830.3625531;3.868228289;67.25281176;2547.805331;openarea
EB2005;20150930;472.4844616;186.4878502;873.317204;2.61398628;68.22120349;4117.094655;openarea
EB2006;20151001;898.8101539;444.4633759;426.5543356;2.348115044;68.3897696;2015.152064;openarea
EB2007;20151005;179.0649113;224.9915189;1415.703708;2.936309998;68.39422917;4300.809825;openarea
EB251;20150907;480.6123467;411.5800139;34.63395922;4.056028262;66.93633272;3388.34393;openarea
EB252;20150909;1464.467979;405.5360087;448.895619;4.234330847;66.78270979;3787.46823;openarea
EB253;20150918;785.7844796;596.4652935;850.7866445;3.873497128;67.25162101;3214.150301;openarea
EB254;20150923;195.1128876;645.2850639;374.4072524;2.727076958;67.83749687;4235.886731;openarea
EB255;20150929;210.2358862;423.7978246;967.2863172;2.948561269;67.94729402;2767.552806;openarea
EB256;20150930;681.2997399;407.568066;515.5505057;2.614328122;68.22701481;3614.474688;openarea
EB257;20151001;271.4400664;521.2493952;610.2581004;2.359588131;68.37641474;3324.098191;openarea
EB258;20151008;1144.605335;288.693108;421.2061006;3.962818435;66.66273646;5432.026604;openarea
EB259;20151008;899.2805734;202.2762261;505.2103442;3.963203008;66.66585084;5467.912724;openarea
EB501;20150912;1273.863918;233.9024587;321.222722;4.234864981;66.77882415;5343.572379;openarea
EB502;20150918;221.5240274;550.1640797;750.8935482;3.862261115;67.25422857;1361.310984;openarea
EB503;20150930;226.9180046;416.1467655;501.0212697;2.617062862;68.23069126;3536.740563;openarea
EB504;20151001;886.3652021;451.2048511;517.5234216;2.352245093;68.39414782;2779.989099;openarea
EB505;20151005;160.5789311;216.0613526;1379.074296;2.936231111;68.39053793;5525.19169;openarea
EB506;20151008;1683.440885;387.130673;68.07189257;3.962138037;66.65643539;5280.703774;openarea
EC1001;20150908;134.040138;448.9261203;767.4319244;4.109016142;66.8657959;1106.209865;openarea
EC1002;20150909;535.4184295;494.7141231;532.775636;4.129685639;66.84361992;1092.081067;openarea
EC1003;20150912;635.7045023;304.2769301;485.0324472;4.309839398;66.84955652;4310.048298;openarea
EC1004;20150913;1162.927709;373.9572838;1039.866231;4.304254005;66.84994051;3311.593384;openarea
EC1005;20150917;1582.390804;386.024973;281.1495265;3.770970753;67.09581759;1531.776644;openarea
EC1006;20150913;1139.943121;453.4540852;1072.167854;4.304372517;66.8534234;4206.355493;openarea
EC1007;20150927;171.3614793;561.4136147;255.1092888;2.562184004;68.00792011;2407.381449;openarea
EC1008;20151004;259.1998834;497.9160616;1121.843056;2.995396969;68.27180603;1982.788128;openarea
EC2001;20150912;464.3049105;452.3388304;474.7218155;4.311874375;66.8551734;3083.142085;openarea
EC2002;20150917;2179.993005;493.4588645;408.6011656;3.842639501;67.14760173;1162.18851;openarea
EC2003;20150923;223.6832337;414.5897464;416.0509847;2.716499565;67.83440714;1795.909116;openarea
EC2004;20150925;396.5517282;145.7146128;646.0895381;2.688874423;67.76428342;2214.78853;openarea
EC2005;20150927;278.7912411;482.9386083;341.4860504;2.597449652;67.99933789;3101.562968;openarea
EC2006;20150928;159.3171061;534.5088509;705.1668242;2.740395665;67.95704968;3701.74245;openarea
EC2007;20150929;475.2982142;798.0574043;378.1617071;2.925457323;67.91382633;1444.355599;openarea
EC2008;20151004;383.1552588;512.3675399;775.4745738;2.998427533;68.26972868;1567.827361;openarea
EC252;20150924;761.457269;525.958265;956.9014202;2.685575973;67.76233755;2402.450668;openarea
EC253;20150926;592.0937178;483.5729373;483.0330705;2.592611267;67.99220029;2994.597338;openarea
EC3001;20150924;350.0488976;506.0783967;768.1757625;2.720687134;67.83639245;2489.678928;openarea
EC3002;20150925;697.0576909;529.3667082;633.1271703;2.709338952;67.77277689;1083.324527;openarea
EC3003;20150926;639.5890598;480.858655;543.5985069;2.62491209;68.00722492;3390.866445;openarea
EC3004;20150926;426.8789567;611.0368244;474.850471;2.563357444;68.00223533;2097.471135;openarea
EC3005;20150928;444.4389172;446.1339417;534.4147631;2.789213393;68.0024194;1677.7482;openarea
EC501;20150909;56.10712717;365.4665825;936.784427;4.112905544;66.8651508;1870.255294;openarea
EC502;20150916;1558.613043;159.9422727;343.1270537;3.773335527;67.09979518;839.390732;openarea
EC503;20150917;1181.030329;402.7212471;373.1435554;3.8259679;67.15767721;1626.383681;openarea
EC504;20150913;744.5897924;624.755035;685.0387921;4.308303174;66.85294898;3412.015212;openarea
EC505;20150925;134.926043;669.2245828;519.5387357;2.744259471;67.73057578;2752.821808;openarea
EC506;20150927;183.3843123;491.8792732;402.6052818;2.621598848;68.00309487;1533.881961;openarea
EC507;20150928;331.7858468;527.1345846;667.0950232;2.677259998;67.92005181;4565.400279;openarea
EC508;20151004;170.4011709;169.8233838;1102.941468;2.991705728;68.2697221;989.493485;openarea
TEA1001;20150922;668.9033596;696.7855847;549.9587353;3.559130649;67.24388461;3995.965447;openarea
TEA251;20150921;489.4312884;231.9209559;485.9146738;3.748396888;67.43774265;4233.018537;openarea
TEA252;20150922;1455.049451;306.7259315;512.9281038;3.569800066;67.25493721;5574.770478;openarea
TEA253;20151007;560.8592986;184.3770947;985.3949936;3.529917731;68.25748562;6981.28729;openarea
TEA254;20151006;401.3171028;34.37346195;456.1535367;3.52309403;68.25240236;5996.38852;openarea
TEA501;20150921;307.948752;421.0176427;1133.301072;3.754675178;67.43428903;3174.990425;openarea
TEA502;20150923;537.7791835;495.5620743;726.0129782;3.572862663;67.24587147;2519.763956;openarea
TEA503;20151006;723.5619068;171.3772169;989.8401929;3.531587499;68.25976841;7234.405014;openarea
TEB1001;20150907;1439.449325;185.0721516;343.6854062;4.042624316;66.93587727;3962.535355;openarea
TEB1002;20150908;328.070894;335.8975166;340.0738816;4.058961729;66.93170884;3339.565248;openarea
TEB1003;20150924;910.3528695;611.6670649;218.3927381;2.694598641;67.8235635;3776.266874;openarea
TEB1004;20150929;447.5506002;109.163254;639.559023;2.946096059;67.94470227;4335.810439;openarea
TEB1005;20151005;136.0443339;379.0332175;1674.792333;2.943980087;68.39170972;2942.364385;openarea
TEB2001;20150907;1238.691812;417.1587803;275.2296601;4.048585487;66.92330375;660.6834843;openarea
TEB2002;20150908;763.4768593;383.7834472;459.8676381;4.054244796;66.93026442;2646.511408;openarea
TEB2003;20150918;230.7782977;318.4019166;412.9399426;3.862180538;67.24979013;2484.994651;openarea
TEB2005;20150930;517.1874783;356.6501792;846.0290603;2.619182942;68.22698194;5006.629406;openarea
